column	7_2009
testVal	1213
testVal	415
testVal	2985
testVal	7521
testVal	1456
testVal	753
testVal	926
testVal	230
testVal	152
testVal	319
testVal	748
testVal	4002
testVal	106
testVal	148
testVal	1233
testVal	1831
testVal	74
testVal	145
testVal	1097
testVal	515
testVal	482
testVal	3713
testVal	5894
testVal	190
testVal	159
testVal	123
testVal	7033
testVal	7642
testVal	637
testVal	2829
testVal	1931
testVal	916
testVal	1227
testVal	346
testVal	13338
testVal	868
testVal	336
testVal	2254
testVal	2942
testVal	1294
testVal	218
testVal	123
testVal	1844
testVal	278
testVal	362
testVal	3451
testVal	934
testVal	991
testVal	1042
testVal	2988
testVal	10658
testVal	1002
testVal	196
testVal	224
testVal	676
testVal	2558
testVal	282
testVal	1369
testVal	1205
testVal	2597
testVal	69920
testVal	424
testVal	6068
testVal	2047
testVal	43520
testVal	10054
testVal	837
testVal	657
testVal	9275
testVal	72489
testVal	1866
testVal	520
testVal	101886
testVal	1630
testVal	38045
testVal	524
testVal	1089
testVal	4177
testVal	2127
testVal	36827
testVal	19660
testVal	550
testVal	1262
testVal	2223
testVal	826
testVal	538
testVal	236
testVal	12470
testVal	18282
testVal	164
testVal	101
testVal	70518
testVal	432
testVal	4370
testVal	1201
testVal	690
testVal	2597
testVal	550
testVal	542
testVal	1144
testVal	510
testVal	701
testVal	1713
testVal	165
testVal	367
testVal	23145
testVal	4909
testVal	370
testVal	200
testVal	1701
testVal	2466
testVal	1498
testVal	652
testVal	2556
testVal	319
testVal	18791
testVal	211
testVal	253
testVal	250
testVal	5487
testVal	1328
testVal	313
testVal	1207
testVal	275
testVal	280
testVal	280
testVal	76
testVal	177
testVal	61
testVal	101
testVal	622
testVal	167
testVal	75154
testVal	175
testVal	8896
testVal	301
testVal	6944
testVal	283
testVal	7928
testVal	9887
testVal	24133
testVal	1816
testVal	159
testVal	5309
testVal	2248
testVal	96
testVal	782
testVal	97
testVal	10540
testVal	392
testVal	873
testVal	2239
testVal	160
testVal	107068
testVal	354
testVal	26194
testVal	216
testVal	237
testVal	2739
testVal	3679
testVal	2481
testVal	114
testVal	2186
testVal	17748
testVal	808
testVal	200
testVal	163
testVal	154
testVal	11302
testVal	78
testVal	24159
testVal	380
testVal	25034
testVal	3061
testVal	154
testVal	787
testVal	470
testVal	1408
testVal	14476
testVal	1576
testVal	473
testVal	349
testVal	6033
testVal	90
testVal	9279
testVal	25951
testVal	4427
testVal	113
testVal	282
testVal	647
testVal	52
testVal	1804
testVal	1070
testVal	552
testVal	2799
testVal	6571
testVal	385
testVal	3398
testVal	1069
testVal	492
testVal	1725
testVal	1338
testVal	406
testVal	11465
testVal	10158
testVal	394
testVal	1309
testVal	1820
testVal	539
testVal	134
testVal	18697
testVal	13088
testVal	1321
testVal	744
testVal	2253
testVal	12728
testVal	430
testVal	280
testVal	16717
testVal	915
testVal	1052
testVal	486
testVal	755
testVal	697
testVal	5034
testVal	835
testVal	4363
testVal	2825
testVal	285
testVal	11696
testVal	1489
testVal	810
testVal	773
testVal	1103
testVal	13755
testVal	4878
testVal	3588
testVal	4377
testVal	427
testVal	335
testVal	7057
testVal	11643
testVal	13891
testVal	636
testVal	4706
testVal	18712
testVal	651
testVal	0
testVal	5427
testVal	359
testVal	683
testVal	2301
testVal	135
testVal	342
testVal	3185
testVal	2108
testVal	86
testVal	1353
testVal	230
testVal	1461
testVal	193
testVal	489
testVal	1318
testVal	6064
testVal	478
testVal	21882
testVal	3146
testVal	1579
testVal	558
testVal	378
testVal	319
testVal	15167
testVal	497
testVal	1769
testVal	859
testVal	248
testVal	7736
testVal	1427
testVal	121
testVal	499
testVal	1264
testVal	1245
testVal	137
testVal	1404
testVal	3169
testVal	205
testVal	2362
testVal	2697
testVal	38
testVal	987
testVal	517
testVal	3076
testVal	599
testVal	2589
testVal	90
testVal	369
testVal	567
testVal	3514
testVal	2240
testVal	2906
testVal	1072
testVal	793
testVal	2765
testVal	609
testVal	2560
testVal	243
testVal	827
testVal	217
testVal	3007
testVal	833
testVal	759
testVal	766
testVal	32988
testVal	372
testVal	944
testVal	162
testVal	2999
testVal	152
testVal	553
testVal	392
testVal	1533
testVal	583
testVal	432
testVal	1740
testVal	629
testVal	2043
testVal	5822
testVal	1119
testVal	298
testVal	86
testVal	802
testVal	415
testVal	801
testVal	1418
testVal	22
testVal	636
testVal	41653
testVal	1456
testVal	1864
testVal	160
testVal	490
testVal	1298
testVal	81
testVal	2359
testVal	636
testVal	116
testVal	35
testVal	451
testVal	105
testVal	550
testVal	2612
testVal	7
testVal	601
testVal	1162
testVal	442
testVal	86
testVal	286
testVal	3273
testVal	261
testVal	2714
testVal	9835
testVal	1352
testVal	842
testVal	873
testVal	1299
testVal	6571
testVal	110
testVal	242
testVal	565
testVal	1499
testVal	637
testVal	128
testVal	602
testVal	715
testVal	94
testVal	595
testVal	1310
testVal	482
testVal	310
testVal	790
testVal	147
testVal	1369
testVal	833
testVal	577
testVal	928
testVal	3190
testVal	356
testVal	4617
testVal	652
testVal	294
testVal	533
testVal	200
testVal	921
testVal	356
testVal	325
testVal	364
testVal	2410
testVal	282
testVal	459
testVal	2468
testVal	255
testVal	329
testVal	488
testVal	12
testVal	2648
testVal	664
testVal	2567
testVal	591
testVal	259
testVal	220
testVal	352
testVal	690
testVal	55
testVal	531
testVal	262
testVal	1801
testVal	190
testVal	180
testVal	4166
testVal	1142
testVal	5
testVal	142858
testVal	286
testVal	312
testVal	664
testVal	570
testVal	2612
testVal	482
testVal	10370
testVal	1274
testVal	371
testVal	1409
testVal	17404
testVal	1211
testVal	540
testVal	1241
testVal	4169
testVal	10265
testVal	2129
testVal	408
testVal	151
testVal	364
testVal	72
testVal	696
testVal	207
testVal	269
testVal	4182
testVal	1589
testVal	544
testVal	1307
testVal	849
testVal	958
testVal	157
testVal	5876
testVal	1379
testVal	665
testVal	1482
testVal	148
testVal	0
testVal	469
testVal	8494
testVal	1700
testVal	1743
testVal	456
testVal	675
testVal	988
testVal	7338
testVal	598
testVal	76
testVal	116
testVal	140
testVal	474
testVal	334
testVal	381
testVal	1142
testVal	1492
testVal	270
testVal	6345
testVal	1415
